id_libro,id_ejemplar,nombre_libro,autor,estado,fecha_préstamo,fecha_devolución,sede
001,001,Opening Spaces: An Anthology of Contemporary African Women's Writing,Yvonne Vera,prestado,2021-5-20,2021-5-27,1
001,002,Opening Spaces: An Anthology of Contemporary African Women's Writing,Yvonne Vera,disponible,_,_,_
001,003,Opening Spaces: An Anthology of Contemporary African Women's Writing,Yvonne Vera,prestado,2021-5-21,2021-5-28,1
001,004,Opening Spaces: An Anthology of Contemporary African Women's Writing,Yvonne Vera,prestado,2021-5-20,2021-5-27,2
001,005,Opening Spaces: An Anthology of Contemporary African Women's Writing,Yvonne Vera,disponible,_,_,_
002,001,The Caine Prize for African Writing 2010: 11th Annual Collection,The Caine Prize for African Writing,disponible,_,_,_
002,002,The Caine Prize for African Writing 2010: 11th Annual Collection,The Caine Prize for African Writing,disponible,_,_,_
002,003,The Caine Prize for African Writing 2010: 11th Annual Collection,The Caine Prize for African Writing,disponible,_,_,_
002,004,The Caine Prize for African Writing 2010: 11th Annual Collection,The Caine Prize for African Writing,disponible,_,_,_
002,005,The Caine Prize for African Writing 2010: 11th Annual Collection,The Caine Prize for African Writing,prestado,2021-5-20,2021-5-27,1
002,006,The Caine Prize for African Writing 2010: 11th Annual Collection,The Caine Prize for African Writing,prestado,2021-5-23,2021-5-30,2
003,001,African Folktales,Roger D. Abrahams,prestado,2021-5-20,2021-5-27,1
003,002,African Folktales,Roger D. Abrahams,prestado,2021-5-23,2021-5-30,1
003,003,African Folktales,Roger D. Abrahams,prestado,2021-5-20,2021-5-27,1
003,004,African Folktales,Roger D. Abrahams,prestado,2021-5-20,2021-5-27,2
003,005,African Folktales,Roger D. Abrahams,prestado,2021-5-21,2021-5-28,2
003,006,African Folktales,Roger D. Abrahams,disponible,_,_,_
004,001,Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,Vincent Carretta,disponible,_,_,_
004,002,Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,Vincent Carretta,prestado,2021-5-21,2021-5-28,1
004,003,Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,Vincent Carretta,disponible,_,_,_
004,004,Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,Vincent Carretta,prestado,2021-5-21,2021-5-28,2
004,005,Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,Vincent Carretta,prestado,2021-5-21,2021-5-28,1
004,006,Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,Vincent Carretta,prestado,2021-5-23,2021-5-30,1
005,001,Women Writing Africa: West Africa and the Sahel,Esi Sutherland-Addy,prestado,2021-5-20,2021-5-27,1
005,002,Women Writing Africa: West Africa and the Sahel,Esi Sutherland-Addy,prestado,2021-5-20,2021-5-27,1
005,003,Women Writing Africa: West Africa and the Sahel,Esi Sutherland-Addy,prestado,2021-5-22,2021-5-29,2
005,004,Women Writing Africa: West Africa and the Sahel,Esi Sutherland-Addy,prestado,2021-5-22,2021-5-29,1
005,005,Women Writing Africa: West Africa and the Sahel,Esi Sutherland-Addy,disponible,_,_,
